job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
12,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience experience experience management,experience logistics management salary management,salary logistics logistics salary experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
13,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience management salary salary wire,management salary experience salary salary,salary immediate salary management management,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
14,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience salary experience experience salary,experience management management salary salary,experience salary salary logistics logistics,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
15,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,wire wire immediate immediate immediate,immediate wire wire logistics immediate,immediate salary wire immediate salary,1,0,0,Contract,Not Applicable,High School,Staffing,Admin,1
16,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,wire wire immediate wire immediate,wire logistics immediate immediate salary,wire wire wire wire immediate,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
17,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience management salary experience,experience salary experience management logistics,salary experience management experience logistics,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
18,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience logistics experience experience,immediate experience experience experience management,logistics logistics salary management experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
19,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics management experience experience salary,experience salary wire experience experience,logistics salary management management experience,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
20,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience management experience salary salary,experience experience salary salary salary,logistics experience experience salary experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
21,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience experience immediate salary,experience experience salary experience experience,management salary logistics experience salary,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
22,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate management wire immediate immediate,immediate wire experience experience logistics,management logistics wire wire immediate,1,1,1,Contract,Not Applicable,High School,Staffing,Admin,1
23,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience immediate experience experience,management experience salary management salary,salary experience experience salary immediate,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
24,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience management experience salary,management management experience logistics salary,experience experience salary salary experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
25,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience salary experience management,experience salary salary experience salary,experience immediate logistics immediate experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
26,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,management salary experience experience management,experience experience salary experience salary,salary immediate management experience logistics,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
27,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,wire immediate wire immediate salary,salary immediate immediate wire immediate,wire salary wire wire immediate,1,0,0,Contract,Not Applicable,High School,Staffing,Admin,1
28,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics management experience management salary,management logistics salary salary management,experience experience management management experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
29,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics experience salary immediate experience,logistics salary immediate salary experience,experience management salary salary salary,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
30,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate wire immediate wire logistics,salary immediate wire logistics wire,immediate immediate wire wire wire,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
31,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary management salary experience experience,management experience management experience salary,logistics experience salary experience experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
32,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,logistics immediate salary wire wire,immediate immediate wire wire wire,immediate immediate experience logistics wire,0,1,0,Contract,Not Applicable,High School,Staffing,Admin,1
33,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate wire immediate immediate immediate,wire experience immediate wire wire,immediate immediate wire immediate management,1,0,0,Contract,Not Applicable,High School,Staffing,Admin,1
34,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience immediate experience salary,salary salary management salary management,experience experience management logistics salary,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
35,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,management management logistics experience experience,experience salary salary experience experience,experience experience salary logistics experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
36,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience immediate management logistics,salary experience experience logistics salary,logistics experience salary experience experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
37,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics immediate logistics management experience,management experience salary experience salary,experience experience management salary experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
38,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate immediate wire salary wire,wire wire immediate wire wire,immediate immediate logistics wire immediate,1,0,0,Contract,Not Applicable,High School,Staffing,Admin,1
39,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience salary salary logistics management,salary logistics management management logistics,immediate management experience salary management,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
40,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience experience experience experience,management salary salary salary salary,experience salary salary salary experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
41,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,salary logistics immediate wire immediate,logistics immediate management wire management,immediate immediate wire wire immediate,0,1,0,Contract,Not Applicable,High School,Staffing,Admin,1
42,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience salary experience logistics management,salary immediate experience experience salary,salary salary experience salary experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
43,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate immediate logistics salary logistics,immediate immediate experience wire management,wire immediate logistics wire wire,1,1,0,Contract,Not Applicable,High School,Staffing,Admin,1
44,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary logistics experience salary experience,logistics wire salary management salary,experience management salary management logistics,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
45,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,management salary management experience management,salary management management management salary,salary experience salary logistics management,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
46,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience experience salary salary,salary management experience logistics management,salary experience salary management immediate,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
47,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,management experience experience experience management,experience management experience salary salary,experience management salary logistics experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
48,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary salary management salary logistics,experience management experience management experience,salary logistics experience immediate experience,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
49,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience salary salary experience experience,immediate salary salary salary logistics,salary experience logistics salary experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
50,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate immediate wire wire immediate,immediate management logistics immediate wire,logistics management immediate logistics immediate,1,1,0,Contract,Not Applicable,High School,Staffing,Admin,1
51,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience experience experience experience,experience management experience experience salary,experience wire experience logistics experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
52,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience salary salary experience,management experience management experience salary,experience experience salary experience logistics,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
53,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience logistics salary experience logistics,salary experience salary salary experience,salary experience salary salary experience,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
54,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics experience experience salary logistics,experience experience salary salary salary,management salary experience experience experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
55,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience salary experience experience logistics,salary management salary salary experience,experience experience experience salary experience,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
56,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience salary experience salary experience,logistics salary management management immediate,experience logistics salary experience management,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
57,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate salary immediate wire wire,wire salary salary wire wire,immediate immediate wire immediate immediate,1,0,0,Contract,Not Applicable,High School,Staffing,Admin,1
58,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate salary immediate logistics wire,wire wire wire immediate wire,immediate wire wire wire wire,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
59,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate wire experience wire experience,immediate logistics immediate salary immediate,logistics salary wire experience management,1,0,0,Contract,Not Applicable,High School,Staffing,Admin,1
60,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience management experience salary salary,logistics salary logistics salary logistics,salary immediate experience experience management,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
61,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics logistics experience experience experience,management management salary logistics salary,salary logistics salary salary management,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
62,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience salary experience salary experience,salary salary experience experience salary,experience management experience salary experience,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
63,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,management experience experience salary salary,immediate management experience experience salary,management immediate experience experience management,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
64,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience salary salary management,management salary immediate salary management,immediate salary immediate experience management,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
65,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience salary experience salary,salary management salary salary experience,salary immediate salary salary experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
66,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary salary experience experience management,experience salary management experience salary,management experience salary experience experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
67,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate immediate wire wire immediate,immediate wire immediate immediate wire,logistics wire logistics immediate immediate,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
68,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics logistics immediate experience salary,experience salary experience experience experience,management salary salary experience salary,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
69,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate immediate wire immediate immediate,wire experience wire wire logistics,immediate immediate wire wire experience,1,0,0,Contract,Not Applicable,High School,Staffing,Admin,1
70,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,immediate management experience experience salary,experience experience experience salary salary,experience salary experience experience salary,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
71,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,immediate experience salary immediate management,salary experience logistics salary management,salary experience salary experience management,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
72,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate immediate logistics wire wire,immediate immediate immediate experience wire,experience wire salary immediate wire,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
73,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate wire immediate wire immediate,wire experience salary wire wire,immediate wire experience immediate experience,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
74,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience immediate experience salary,experience management salary experience experience,salary management logistics management experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
75,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,immediate experience experience management management,salary experience experience experience experience,salary experience immediate logistics experience,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
76,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics salary management experience management,salary logistics logistics salary salary,experience salary salary management immediate,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
77,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience management experience salary,experience experience experience management management,experience experience salary experience immediate,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
78,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,wire wire immediate immediate logistics,immediate salary logistics salary experience,immediate immediate management wire salary,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
79,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary salary management salary experience,logistics experience management immediate experience,logistics salary management experience salary,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
80,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate immediate wire wire immediate,logistics experience experience wire immediate,wire immediate immediate salary experience,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
81,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience management experience salary salary,management management experience experience experience,salary experience experience experience management,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
82,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics salary experience immediate experience,immediate management experience experience salary,logistics salary management management experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
83,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,management salary experience salary management,experience management immediate immediate salary,salary salary experience management management,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
84,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,wire immediate wire immediate immediate,salary wire immediate immediate wire,salary immediate immediate immediate logistics,1,1,1,Contract,Not Applicable,High School,Staffing,Admin,1
85,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary salary management salary salary,wire experience management logistics logistics,salary immediate experience salary management,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
86,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience experience wire salary,immediate salary management experience experience,experience management management logistics experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
87,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience experience experience salary,management experience experience management salary,salary salary experience experience management,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
88,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary salary salary salary salary,experience experience salary salary management,experience wire salary experience experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
89,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary salary experience logistics experience,experience experience logistics experience logistics,salary experience logistics salary experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
90,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary salary experience experience immediate,experience salary salary salary experience,experience management experience management salary,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
91,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,salary immediate immediate immediate logistics,wire wire immediate salary immediate,wire immediate wire wire experience,1,0,0,Contract,Not Applicable,High School,Staffing,Admin,1
92,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience logistics experience experience management,experience salary logistics experience salary,experience management management logistics management,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
93,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience logistics experience experience immediate,salary experience experience management logistics,salary logistics salary salary salary,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
94,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience salary salary logistics experience,experience experience salary experience experience,salary experience management management salary,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
95,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary logistics experience experience experience,wire experience logistics salary experience,experience logistics salary experience experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
96,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,management management management salary salary,immediate wire experience experience salary,salary salary salary experience experience,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
97,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience salary logistics experience,experience experience salary experience experience,experience experience immediate salary experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
98,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics salary salary salary management,immediate logistics experience salary management,management logistics experience salary experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
99,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate wire wire wire salary,wire immediate immediate immediate immediate,immediate wire wire wire immediate,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
100,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate management wire salary wire,wire wire experience salary immediate,wire wire immediate wire wire,0,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
101,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,salary immediate logistics wire salary,immediate logistics wire immediate wire,immediate immediate immediate immediate immediate,1,1,0,Contract,Not Applicable,High School,Staffing,Admin,1
102,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience experience wire experience,salary logistics salary management management,salary salary experience wire experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
103,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience experience management salary,management salary logistics management experience,immediate salary logistics logistics experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
104,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience salary experience salary logistics,experience salary management management management,experience experience logistics experience salary,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
105,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics experience salary salary experience,management immediate logistics experience salary,salary experience logistics management immediate,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
106,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary salary experience management salary,experience experience experience salary experience,salary management experience experience salary,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
107,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience salary experience experience,experience salary management salary experience,experience management management logistics salary,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
108,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience salary management logistics,experience experience experience immediate experience,experience logistics salary management immediate,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
109,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience immediate logistics experience salary,experience logistics salary salary experience,experience management salary salary salary,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
110,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,wire immediate wire wire wire,wire logistics immediate immediate wire,wire wire wire immediate immediate,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
111,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience salary wire management salary,experience management management experience experience,experience salary salary experience experience,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
112,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,wire management wire wire wire,salary immediate salary wire wire,wire salary salary immediate wire,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
113,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,immediate logistics salary logistics salary,experience management experience salary experience,logistics experience experience management experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
114,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience salary salary experience,salary management salary experience salary,salary experience salary experience salary,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
115,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience logistics salary salary,management management salary salary wire,salary experience salary logistics experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
116,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience management salary experience,logistics logistics salary logistics salary,management salary experience experience experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
117,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience logistics salary management experience,experience logistics salary salary experience,experience experience salary salary salary,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
118,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,wire wire experience salary immediate,immediate wire experience management wire,logistics wire immediate immediate immediate,1,1,1,Contract,Not Applicable,High School,Staffing,Admin,1
119,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,management salary logistics experience experience,experience immediate experience management salary,immediate experience experience management salary,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
120,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary management experience salary experience,experience salary management logistics experience,experience experience salary experience management,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
121,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience salary salary experience,wire immediate experience management experience,logistics salary experience experience experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
122,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience logistics immediate management,salary immediate wire salary salary,management salary experience logistics logistics,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
123,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics management salary salary experience,immediate logistics management salary salary,experience management salary experience experience,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
124,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,salary experience management immediate immediate,salary immediate wire immediate wire,wire wire wire salary wire,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
125,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience logistics management management,salary experience experience salary salary,experience experience experience immediate experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
126,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary management management experience salary,logistics experience salary experience salary,logistics salary experience management experience,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
127,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience experience experience management,salary management logistics experience salary,immediate salary management experience management,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
128,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,management logistics logistics salary management,management management management logistics experience,logistics experience salary experience experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
